,min_01,max_01,mean_01,std_01,min_02,max_02,mean_02,std_02,min_03,max_03,mean_03,std_03,min_04,max_04,mean_04,std_04,min_05,max_05,mean_05,std_05,min_06,max_06,mean_06,std_06,min_07,max_07,mean_07,std_07,min_08,max_08,mean_08,std_08,min_09,max_09,mean_09,std_09,min_10,max_10,mean_10,std_10,min_11,max_11,mean_11,std_11,min_12,max_12,mean_12,std_12,y
4066,19316,19513,19439.065868263475,47.07836984094552,13533,14762,14195.433133732535,231.53329498494793,9470,11796,10889.944111776447,483.0531194783695,5292,6848,6247.60878243513,301.7191570703261,8339,10993,9844.263473053892,594.5138627291709,17826,28016,22767.674650698602,2335.9935907070635,20627,36847,27684.646706586827,3102.4537280457225,16842,38731,26725.25748502994,4170.142377984658,5751,6832,6155.960079840319,200.01840834243714,147,213,184.32934131736528,14.1058628460653,8569,13795,10527.457085828344,1031.703003039987,3228,5259,4090.0379241516966,397.7843985169294,1
2379,19415,19742,19541.505154639177,58.469069635268596,13451,15433,14376.824054982817,225.53795782067678,9519,13910,11235.007216494845,468.0498052802034,5521,8667,6597.069072164948,314.85406815296585,8274,13812,10587.82027491409,679.8977022819751,18645,32210,25782.219931271477,2343.706628225976,22495,39894,31580.872164948454,3052.995220878956,16974,42614,30558.78762886598,3937.7989808162815,6668,8601,7493.684536082475,362.9499053806876,147,246,197.533676975945,15.495816968605476,9175,18383,12747.845017182131,1315.375895617182,3670,7602,5019.228865979381,536.5505832411118,1
3127,19382,20332,19662.99652052888,171.8796430032255,13844,15876,14581.994432846208,322.1080572195023,10060,14270,11486.009046624913,613.2331164998837,5996,10338,7089.809324982602,611.8307058606907,9306,17252,10935.039665970773,1249.605330802086,19316,35602,24074.61308281141,2572.3480792518976,22364,43515,29057.46624913013,3214.591546765343,17432,44941,28193.239387613085,3708.2510358738673,6078,10010,6916.8302018093245,766.163192782334,131,246,186.61586638830897,26.766912632249056,9781,25215,13072.21851078636,2532.0449204239967,3899,10944,5512.961029923452,1183.4966897402287,1
189,19136,19497,19233.374362244896,62.38378608400504,13451,14663,13958.267219387755,163.17946845553658,9519,11714,10625.377551020409,326.6530980808834,5374,7029,6023.7021683673465,259.22628932446423,8339,10912,9505.559948979591,549.67550745686,19890,33456,24880.73469387755,2408.2581410638722,24313,44810,31191.811224489797,3364.2422718724647,21971,45825,30368.992346938776,3898.3910762466867,6160,9830,7628.834183673469,820.0144204834841,180,246,218.59375,14.406060470664379,8126,17088,10928.78125,1825.6917639820547,2818,5964,3999.620535714286,631.9518391877456,1
1207,19284,19808,19466.36977133296,113.86757075973365,13336,15417,14171.625209146681,283.9665130927049,8978,13697,10932.421639709983,646.5939380431113,5063,8651,6287.268823201339,410.48929520319734,7618,15155,10105.487451199107,937.0729950679912,16122,36339,26654.808142777467,3569.0158391683926,20201,44941,33443.72058003346,4738.171331500581,15417,56295,32342.10708310095,6347.0284848525225,7225,10666,8217.397099832682,562.2908312912647,147,262,199.1957612939208,22.43777151391784,8241,23134,13695.906860011155,2095.721557439484,3113,9814,5174.794757389849,836.829496677218,0
4116,19644,19906,19769.622950819674,60.46985807453957,14205,15286,14756.196721311475,240.6094938148542,10830,13566,12118.622950819672,519.1789439747172,6308,8274,7138.762295081967,380.0397100321096,9732,13992,12107.909836065573,848.3860859814112,21545,33652,29311.180327868853,2776.771936172405,26804,42631,35556.05327868852,3520.1260877120426,22757,42975,34855.987704918036,4024.8193325520706,7258,8339,7596.061475409836,209.77368833849167,180,279,222.70491803278688,26.952200714485954,11780,20971,16755.40163934426,2117.0383781177757,4686,8733,6792.852459016393,864.3375760921036,0
2478,19366,19792,19487.425178147267,85.63636169551867,13648,15008,14287.338479809976,211.8441045292913,9748,12943,11093.1567695962,390.2651259527716,5652,7864,6502.600950118765,261.41058048699216,8470,14663,10408.155581947743,725.0962247706716,16842,35225,27348.463182897864,3113.374321647938,21119,44924,34356.92399049881,4163.193579221429,17694,44400,33302.41805225653,4629.701785828907,7766,9830,8283.38242280285,361.8837441107465,147,229,200.5142517814727,18.707154657150156,9863,21594,13951.161520190024,1713.0561693854124,3752,8618,5220.657957244655,642.0934377247784,0
3151,19316,19497,19442.814159292036,45.77001930053215,13959,14614,14275.853982300885,152.19799897245997,10240,11665,11042.96017699115,275.27571569803615,6013,6898,6449.269911504425,174.19214971945772,9011,11010,10288.601769911504,410.07224789351767,23445,31490,29177.54424778761,1629.9170238632705,29229,40992,36984.19911504425,2368.7843247470546,26673,41697,35614.53982300885,2941.4001212335747,7029,8683,8296.243362831858,405.6831211140451,180,213,196.84070796460176,9.316049878542625,11960,16630,15029.676991150442,1034.6393656266039,4620,6111,5513.8938053097345,339.96080885088236,0
1952,19726,20037,19845.142540620385,68.6811263158159,14303,15630,14866.785081240769,227.64330214678026,11206,14237,12495.820531757754,498.18340707227463,6865,9339,7825.740029542098,417.2337956637943,11731,15384,13233.86189069424,907.7239473154575,20381,32997,26298.06425406204,2310.7665003970833,24412,40779,31082.121861152144,2819.764611535933,22413,42221,30472.294682422453,3080.7113123626877,7242,9290,7947.497784342689,532.7090559826839,180,246,213.18833087149187,19.922912286960493,17072,25313,20739.503692762188,1529.1492813744085,6930,10977,8967.666174298376,797.0686060252691,0
3319,19513,21266,20295.29201680672,464.29883978462004,13680,17481,15004.327731092437,851.1668497055728,9486,16892,12299.012605042017,1709.4943671851486,5833,14057,8300.81512605042,1962.0801331787904,7995,24379,13610.892857142857,3826.7990281102584,15319,41959,26118.266806722688,6195.58472107008,17858,50462,30872.5987394958,7022.225130716688,12009,49676,28835.035714285714,8288.15399822568,6799,12845,9122.850840336134,1539.335242322346,180,229,210.59873949579833,14.203677417930956,8896,36159,19249.42226890756,6467.585393621781,3768,17498,8762.68487394958,3420.74185118671,1
2519,19562,19955,19774.422222222223,95.02418813949248,14270,16105,15107.568253968255,346.8026806552247,11600,15221,13490.377777777778,711.8478793363766,6881,10568,8372.450793650794,897.0682973544532,12534,18464,15814.844444444445,1325.705336526384,28524,41746,36958.00634920635,2832.1166115728693,33390,50609,44805.38412698413,3603.365321438842,30867,52788,44802.269841269845,4409.368651515029,8716,11157,10124.549206349206,572.6339865039187,213,246,229.4031746031746,4.483407443323333,17629,28573,23487.977777777778,2349.831839200849,6979,12353,9572.95873015873,1169.9235336069091,0
3593,19677,20578,20040.722222222223,190.46778833981804,13926,18514,15117.200142450143,518.5026661323011,10666,16810,12423.159544159544,886.5124312636441,6439,15466,8428.593304843305,1076.8707967087685,9601,18579,13227.216524216525,1853.6397063869967,19972,36765,28163.748575498576,2994.9885359814593,24215,44384,34198.52065527066,3555.5930825077244,20414,46415,33378.93660968661,4105.111468703754,6930,10649,8187.262108262108,791.9639601681645,164,229,193.1403133903134,13.905033990327276,11206,28049,18356.93945868946,3607.7172952598553,4424,14565,7971.964387464387,1795.6923920379336,1
2724,19415,19792,19539.548979591837,91.99480158882311,13910,15089,14411.695918367346,192.64832976938084,10453,13123,11367.465306122449,427.24026101605824,6029,7831,6774.391836734694,312.85670830807044,9224,14450,11097.112244897959,901.8722508142923,21119,34471,28030.685714285715,2093.764866825074,26083,41959,34785.87551020408,2499.7143671138415,23724,44891,33639.14897959184,3442.6538636267014,6554,9634,7947.7387755102045,761.7093700453128,180,246,204.86938775510205,19.08892406800697,9961,20693,14479.657142857142,1830.2341014532674,3981,8470,5607.857142857143,773.3409101200493,0
